match_number,match_id,match_time,player_id,win_flag,elo_start,mon1,mon2,mon3,mon4,mon5,mon6,lead1,lead2,elo_end
9,1647534463,2022-03-17T16:27:43Z,melondonkey,1,1163,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1193
10,1647534767,2022-03-17T16:32:47Z,Housut,1,1260,Groudon,Venusaur,Ho-Oh,Urshifu-*,Clefairy,Regieleki,Urshifu,Clefairy,1282
10,1647534767,2022-03-17T16:32:47Z,melondonkey,0,1222,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1200
11,1647538502,2022-03-17T17:35:02Z,SaffronSwd,0,1164,Zacian-*,Incineroar,Kyurem-White,Runerigus,Thundurus-Therian,Drifblim,Zacian-Crowned,Incineroar,1142
11,1647538502,2022-03-17T17:35:02Z,melondonkey,1,1200,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1222
12,1647539525,2022-03-17T17:52:05Z,Urkee,0,1163,Calyrex-Shadow,Xerneas-*,Emolga,Incineroar,Indeedee-F,Kartana,Emolga,Kartana,1142
12,1647539525,2022-03-17T17:52:05Z,melondonkey,1,1222,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Whimsicott,Zacian-Crowned,1243
13,1647539902,2022-03-17T17:58:22Z,melondonkey,1,1243,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Whimsicott,Kyurem-White,1269
13,1647539902,2022-03-17T17:58:22Z,SaltQueenVgc,0,1250,Comfey,Zamazenta-*,Celesteela,Thundurus,Kyogre,Kingdra,Kyogre,Comfey,1224
14,1647540120,2022-03-17T18:02:00Z,melondonkey,0,1269,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1237
14,1647540120,2022-03-17T18:02:00Z,pollonetor,1,1164,Zacian-*,Grimmsnarl,Incineroar,Rillaboom,Ditto,Lunala,Zacian-Crowned,Grimmsnarl,1196
15,1647540502,2022-03-17T18:08:22Z,Bronzeo,0,1168,Bronzong,Zacian-*,Groudon,Venusaur,Thundurus,Urshifu-*,Thundurus,Zacian-Crowned,1148
15,1647540502,2022-03-17T18:08:22Z,melondonkey,1,1237,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1257
16,1647540740,2022-03-17T18:12:20Z,melondonkey,1,1257,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1279
16,1647540740,2022-03-17T18:12:20Z,Thundurus4Prez,0,1221,Thundurus,Zacian-*,Groudon,Charizard,Regieleki,Sableye,Thundurus,Sableye,1199
17,1647541363,2022-03-17T18:22:43Z,starts beatboxing,1,1281,Lunala,Groudon,Regieleki,Venusaur,Incineroar,Porygon2,Incineroar,Porygon2,1306
17,1647541363,2022-03-17T18:22:43Z,melondonkey,0,1279,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1254
18,1647542072,2022-03-17T18:34:32Z,melondonkey,0,1254,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Zacian-Crowned,Kyurem-White,1228
18,1647542072,2022-03-17T18:34:32Z,cormalfarge,1,1235,Calyrex-Ice,Kyogre,Ferrothorn,Grimmsnarl,Raichu,Indeedee-F,Calyrex-Ice,Indeedee-F,1261
19,1647542383,2022-03-17T18:39:43Z,melondonkey,0,1228,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1209
19,1647542383,2022-03-17T18:39:43Z,Gamerofmediocrity,1,1317,Krookodile,Solgaleo,Palkia,Grimmsnarl,Incineroar,Regieleki,Grimmsnarl,Solgaleo,1332
20,1647543132,2022-03-17T18:52:12Z,melondonkey,1,1209,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1229
20,1647543132,2022-03-17T18:52:12Z,Tricolores,0,1132,Registeel,Dialga,Zacian-*,Metagross,Togedemaru,Celesteela,Zacian-Crowned,Registeel,1112
21,1647543641,2022-03-17T19:00:41Z,Corrkk,0,1245,Yveltal,Zacian-*,Grimmsnarl,Landorus-Therian,Rotom-Heat,Gastrodon-East,Grimmsnarl,Yveltal,1219
21,1647543641,2022-03-17T19:00:41Z,melondonkey,1,1229,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1255
22,1647543903,2022-03-17T19:05:03Z,CheesiestBrgr,0,1325,Groudon,Charizard,Venusaur,Zacian-*,Grimmsnarl,Gastrodon,Groudon,Charizard,1301
22,1647543903,2022-03-17T19:05:03Z,melondonkey,1,1255,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1285
23,1647544137,2022-03-17T19:08:57Z,GobranJoe,0,1392,Dialga,Rillaboom,Porygon2,Togekiss,Incineroar,Mewtwo,Dialga,Togekiss,1366
23,1647544137,2022-03-17T19:08:57Z,melondonkey,1,1285,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Whimsicott,Kyurem-White,1317
24,1647544234,2022-03-17T19:10:34Z,Bay13,0,1298,Groudon,Gastrodon,Regieleki,Yveltal,Charizard,Grimmsnarl,Grimmsnarl,Yveltal,1274
24,1647544234,2022-03-17T19:10:34Z,melondonkey,1,1317,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Whimsicott,Kyurem-White,1336
25,1647544434,2022-03-17T19:13:54Z,Squirlychick,0,1383,Kyogre,Whimsicott,Regieleki,Zacian-*,Landorus-Therian,Indeedee-F,Indeedee-F,Landorus-Therian,1360
25,1647544434,2022-03-17T19:13:54Z,melondonkey,1,1336,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Whimsicott,Kyurem-White,1359
26,1647545183,2022-03-17T19:26:23Z,Wilfred Ndeedee,1,1275,Kyogre,Kingdra,Shedinja,Zacian-*,Indeedee-F,Landorus-Therian,Kyogre,Kingdra,1306
26,1647545183,2022-03-17T19:26:23Z,melondonkey,0,1359,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1334
27,1647545344,2022-03-17T19:29:04Z,IXx Cuda xXI,1,1230,Whimsicott,Indeedee-F,Charizard,Groudon,Eternatus,Kangaskhan,Whimsicott,Charizard,1262
27,1647545344,2022-03-17T19:29:04Z,melondonkey,0,1334,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Whimsicott,Kyurem-White,1308
28,1647545615,2022-03-17T19:33:35Z,melondonkey,0,1308,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Whimsicott,Zacian-Crowned,1288
28,1647545615,2022-03-17T19:33:35Z,phmezencio,1,1313,Zapdos-Galar,Calyrex-Shadow,Zacian-*,Blastoise,Indeedee-F,Regieleki,Blastoise,Zacian-Crowned,1333
29,1647545878,2022-03-17T19:37:58Z,FinnaGetBodied,1,1218,Zacian-*,Groudon,Charizard,Grimmsnarl,Incineroar,Gastrodon-East,Groudon,Charizard,1248
29,1647545878,2022-03-17T19:37:58Z,melondonkey,0,1288,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Whimsicott,Kyurem-White,1258
30,1647546718,2022-03-17T19:51:58Z,PreNInsanity,0,1222,Zacian-*,Yveltal,Incineroar,Gastrodon-East,Landorus,Raichu,Raichu,Yveltal,1200
30,1647546718,2022-03-17T19:51:58Z,melondonkey,1,1258,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1280
31,1647546948,2022-03-17T19:55:48Z,darrybest,1,1326,Zekrom,Comfey,Incineroar,Rillaboom,Yveltal,Blastoise,Zekrom,Comfey,1343
31,1647546948,2022-03-17T19:55:48Z,melondonkey,0,1280,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Whimsicott,Zacian-Crowned,1258
32,1647558826,2022-03-17T23:13:46Z,Tilron,1,1241,Zacian-*,Palkia,Grimmsnarl,Regieleki,Incineroar,Hydreigon,Palkia,Regieleki,1267
32,1647558826,2022-03-17T23:13:46Z,melondonkey,0,1258,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1232
33,1647559027,2022-03-17T23:17:07Z,melondonkey,0,1232,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1206
33,1647559027,2022-03-17T23:17:07Z,TKDodo,1,1223,Kyogre,Tornadus,Zacian-*,Landorus-Therian,Incineroar,Ferrothorn,Landorus-Therian,Ferrothorn,1249
34,1647559306,2022-03-17T23:21:46Z,PoopEater38,1,1225,Calyrex-Ice,Mimikyu,Torkoal,Grimmsnarl,Gastrodon,Necrozma-Dusk-Mane,Calyrex-Ice,Mimikyu,1249
34,1647559306,2022-03-17T23:21:46Z,melondonkey,0,1206,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Zacian-Crowned,1182
35,1647559703,2022-03-17T23:28:23Z,Luca8,1,1181,Urshifu-*,Palkia,Rillaboom,Sableye,Ho-Oh,Tapu Fini,Palkia,Sableye,1206
35,1647559703,2022-03-17T23:28:23Z,melondonkey,0,1182,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1157
36,1647559798,2022-03-17T23:29:58Z,melondonkey,0,1157,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1129
36,1647559798,2022-03-17T23:29:58Z,Kosom7ayatykvgc,1,1121,Palkia,Calyrex-Ice,Riolu,Amoonguss,Incineroar,Mimikyu,Palkia,Amoonguss,1149
37,1647560079,2022-03-17T23:34:39Z,melondonkey,1,1129,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Whimsicott,Kyurem-White,1149
37,1647560079,2022-03-17T23:34:39Z,tfcbin,0,1054,Indeedee-F,Palkia,Landorus-Therian,Whimsicott,Moltres-Galar,Zacian-*,Palkia,Indeedee-F,1040
38,1647560254,2022-03-17T23:37:34Z,melondonkey,1,1149,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1175
38,1647560254,2022-03-17T23:37:34Z,Young2link,0,1162,Kyogre,Zacian-*,Persian-Alola,Landorus-Therian,Zapdos,Ferrothorn,Landorus-Therian,Zapdos,1136
39,1647560498,2022-03-17T23:41:38Z,Capdom,0,1104,Kyogre,Lugia,Urshifu-*,Incineroar,Zapdos-Galar,Sceptile,Kyogre,Lugia,1084
39,1647560498,2022-03-17T23:41:38Z,melondonkey,1,1175,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1195
40,1647560917,2022-03-17T23:48:37Z,Yashwant22,0,1172,Dialga,Yveltal,Volcarona,Sableye,Celesteela,Mamoswine,Dialga,Sableye,1149
40,1647560917,2022-03-17T23:48:37Z,melondonkey,1,1195,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1218
41,1647561107,2022-03-17T23:51:47Z,Stinkie sokcs,1,1218,Reshiram,Rillaboom,Yveltal,Bronzong,Swampert,Grimmsnarl,Reshiram,Bronzong,1243
41,1647561107,2022-03-17T23:51:47Z,melondonkey,0,1218,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1193
42,1647561352,2022-03-17T23:55:52Z,Mr. Medicine,0,1127,Kyogre,Rillaboom,Dusclops,Incineroar,Calyrex-Ice,Urshifu-*,Dusclops,Urshifu,1107
42,1647561352,2022-03-17T23:55:52Z,melondonkey,1,1193,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1213
43,1647561767,2022-03-18T00:02:47Z,Big Maki,1,1260,Cinderace,Grimmsnarl,Rillaboom,Groudon,Palkia,Zapdos-Galar,Cinderace,Groudon,1282
43,1647561767,2022-03-18T00:02:47Z,melondonkey,0,1213,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1191
44,1647561964,2022-03-18T00:06:04Z,Tangoscarf,1,1270,Calyrex-Ice,Dusclops,Politoed,Kingdra,Zacian-*,Rillaboom,Zacian-Crowned,Rillaboom,1289
44,1647561964,2022-03-18T00:06:04Z,melondonkey,0,1191,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1172
45,1647562806,2022-03-18T00:20:06Z,melondonkey,1,1172,Zacian-*,Kyurem-White,Regieleki,Sableye,Indeedee-F,Incineroar,Sableye,Kyurem-White,1193
45,1647562806,2022-03-18T00:20:06Z,Tickle my Talons,0,1118,Yveltal,Zacian-*,Grimmsnarl,Landorus-Therian,Rotom-Heat,Gastrodon,Zacian-Crowned,Grimmsnarl,1097
46,1647563142,2022-03-18T00:25:42Z,MarimbaMatt913,0,1286,Kyogre,Solgaleo,Umbreon,Landorus-Therian,Zapdos,Whimsicott,Landorus-Therian,Umbreon,1254
46,1647563142,2022-03-18T00:25:42Z,melondonkey,1,1193,Zacian-*,Kyurem-White,Regieleki,Sableye,Indeedee-F,Incineroar,Sableye,Kyurem-White,1225
47,1647874108,2022-03-21T14:48:28Z,ttsui234,1,1210,Reshiram,Venusaur,Grimmsnarl,Thundurus,Groudon,Gastrodon-East,Grimmsnarl,Reshiram,1234
47,1647874108,2022-03-21T14:48:28Z,melondonkey,0,1197,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1173
48,1647874520,2022-03-21T14:55:20Z,SayNoToCovid,0,1072,Xerneas-*,Tapu Lele,Tapu Fini,Lunala,Garchomp,Talonflame,Talonflame,Garchomp,1057
48,1647874520,2022-03-21T14:55:20Z,melondonkey,1,1173,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1191
49,1647874805,2022-03-21T15:00:05Z,melondonkey,1,1191,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Whimsicott,Kyurem-White,1215
49,1647874805,2022-03-21T15:00:05Z,Mystery balance,0,1176,Kyogre,Calyrex-Shadow,Whimsicott,Indeedee,Regieleki,Cinderace,Indeedee,Calyrex-Shadow,1152
50,1647874965,2022-03-21T15:02:45Z,melondonkey,0,1215,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1185
50,1647874965,2022-03-21T15:02:45Z,lledgard,1,1150,Kyogre,Articuno-Galar,Incineroar,Gastrodon,Reshiram,Torkoal,Kyogre,Gastrodon,1180
51,1647875187,2022-03-21T15:06:27Z,melondonkey,1,1185,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1206
51,1647875187,2022-03-21T15:06:27Z,dusqhs,0,1123,Dialga,Zacian-*,Grimmsnarl,Rillaboom,Thundurus,Urshifu-*,Dialga,Rillaboom,1102
52,1647878689,2022-03-21T16:04:49Z,melondonkey,0,1206,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1184
52,1647878689,2022-03-21T16:04:49Z,natfully,1,1251,Groudon,Charizard,Gastrodon-East,Solgaleo,Mimikyu,Incineroar,Charizard,Incineroar,1273
53,1647883614,2022-03-21T17:26:54Z,melondonkey,0,1184,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1157
53,1647883614,2022-03-21T17:26:54Z,Qwerty74,1,1161,Dialga,Amoonguss,Incineroar,Kyogre,Togekiss,Regieleki,Regieleki,Kyogre,1188
54,1647884883,2022-03-21T17:48:03Z,melondonkey,0,1187,Zacian-*,Kyurem-White,Regieleki,Sableye,Pheromosa,Incineroar,Sableye,Kyurem-White,1166
54,1647884883,2022-03-21T17:48:03Z,timmys emporium,1,1244,Groudon,Zacian-*,Charizard,Grimmsnarl,Incineroar,Gastrodon,Charizard,Zacian-Crowned,1265
55,1647885165,2022-03-21T17:52:45Z,EE1607,1,1175,Groudon,Gastrodon,Charizard,Zacian-*,Incineroar,Whimsicott,Charizard,Whimsicott,1199
55,1647885165,2022-03-21T17:52:45Z,melondonkey,0,1166,Zacian-*,Kyurem-White,Regieleki,Sableye,Pheromosa,Incineroar,Sableye,Kyurem-White,1142
56,1647885712,2022-03-21T18:01:52Z,melondonkey,1,1142,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Kartana,Sableye,Kyurem-White,1167
56,1647885712,2022-03-21T18:01:52Z,GlitchUnbound,0,1143,Kyogre,Regieleki,Bronzong,Dragapult,Grimmsnarl,Calyrex-Ice,Calyrex-Ice,Bronzong,1118
57,1647886046,2022-03-21T18:07:26Z,Zesdee,0,1217,Groudon,Charizard,Dialga,Porygon2,Rillaboom,Grimmsnarl,Porygon2,Dialga,1188
57,1647886046,2022-03-21T18:07:26Z,melondonkey,1,1167,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Kartana,Sableye,Kyurem-White,1196
58,1647886205,2022-03-21T18:10:05Z,Laskeese,1,1122,Palkia,Dusclops,Incineroar,Amoonguss,Entei,Calyrex-Ice,Palkia,Entei,1152
58,1647886205,2022-03-21T18:10:05Z,melondonkey,0,1196,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Kartana,Sableye,Kyurem-White,1166
59,1647959325,2022-03-22T14:28:45Z,Kendrick.L,1,1122,Groudon,Indeedee-F,Charizard,Dusclops,Incineroar,Palkia,Indeedee-F,Palkia,1146
59,1647959325,2022-03-22T14:28:45Z,melondonkey,0,1103,Zacian-*,Kyurem-White,Tapu Fini,Sableye,Whimsicott,Kartana,Whimsicott,Kyurem-White,1079
60,1647959682,2022-03-22T14:34:42Z,Czzper,0,1000,Calyrex-Shadow,Thundurus,Incineroar,Gastrodon,Charizard,Groudon,Charizard,Calyrex-Shadow,1000
60,1647959682,2022-03-22T14:34:42Z,melondonkey,1,1079,Zacian-*,Kyurem-White,Tapu Fini,Sableye,Whimsicott,Kartana,Sableye,Kyurem-White,1101
61,1647959887,2022-03-22T14:38:07Z,melondonkey,1,1101,Zacian-*,Kyurem-White,Tapu Fini,Sableye,Whimsicott,Kartana,Sableye,Kyurem-White,1124
61,1647959887,2022-03-22T14:38:07Z,WrathTheDestroyer,0,1077,Yveltal,Zacian-*,Regieleki,Grimmsnarl,Aerodactyl,Charizard,Zacian-Crowned,Charizard,1057
62,1647960091,2022-03-22T14:41:31Z,melondonkey,0,1153,Zacian-*,Kyurem-White,Tapu Fini,Sableye,Whimsicott,Kartana,Sableye,Tapu Fini,1136
62,1647960091,2022-03-22T14:41:31Z,Ninety9th,1,1261,Conkeldurr,Calyrex-Ice,Torkoal,Hatterene,Indeedee-F,Aggron,Hatterene,Indeedee-F,1278
63,1647960395,2022-03-22T14:46:35Z,melondonkey,0,1136,Zacian-*,Kyurem-White,Tapu Fini,Sableye,Whimsicott,Kartana,Sableye,Kyurem-White,1107
63,1647960395,2022-03-22T14:46:35Z,waxyy77,1,1086,Groudon,Zacian-*,Charizard,Incineroar,Gastrodon,Grimmsnarl,Groudon,Charizard,1117
64,1647960806,2022-03-22T14:53:26Z,AERISUU,0,1117,Regieleki,Groudon,Calyrex-Shadow,Gastrodon,Charizard,Indeedee-F,Regieleki,Groudon,1089
64,1647960806,2022-03-22T14:53:26Z,melondonkey,1,1079,Zacian-*,Kyurem-White,Tapu Fini,Sableye,Whimsicott,Kartana,Sableye,Kyurem-White,1110
65,1647960900,2022-03-22T14:55:00Z,melondonkey,0,1110,Zacian-*,Kyurem-White,Tapu Fini,Sableye,Whimsicott,Kartana,Sableye,Kyurem-White,1091
65,1647960900,2022-03-22T14:55:00Z,ratikate,1,1202,Slurpuff,Necrozma-Dusk-Mane,Yveltal,Regieleki,Rillaboom,Grimmsnarl,Slurpuff,Necrozma-Dusk-Mane,1221
66,1647962652,2022-03-22T15:24:12Z,melondonkey,1,1067,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Kartana,Sableye,Kyurem-White,1104
66,1647962652,2022-03-22T15:24:12Z,wslddd999,0,1151,Kyogre,Calyrex-Ice,Tapu Fini,Landorus-Therian,Urshifu-*,Dusclops,Tapu Fini,Dusclops,1120
67,1647963502,2022-03-22T15:38:22Z,melondonkey,0,1104,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Kartana,Regieleki,Kyurem-White,1080
67,1647963502,2022-03-22T15:38:22Z,Dicey_Lad,1,1114,Appletun,Grimmsnarl,Gastrodon,Palkia,Calyrex-Ice,Amoonguss,Grimmsnarl,Amoonguss,1138
68,1647963883,2022-03-22T15:44:43Z,melondonkey,1,1080,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Kartana,Kyurem-White,Zacian-Crowned,1108
68,1647963883,2022-03-22T15:44:43Z,irra7ional,0,1081,Kyurem-White,Zacian-*,Thundurus,Indeedee-F,Hydreigon,Gyarados,Kyurem-White,Indeedee-F,1059
69,1647964636,2022-03-22T15:57:16Z,melondonkey,1,1087,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Kartana,Whimsicott,Kartana,1111
69,1647964636,2022-03-22T15:57:16Z,Bruggem,0,1048,Rayquaza,Whimsicott,Mamoswine,Xerneas-*,Scizor,Incineroar,Rayquaza,Whimsicott,1033
70,1647966279,2022-03-22T16:24:39Z,Pandy_uwu,0,1065,Kyogre,Zacian-*,Tornadus,Regieleki,Incineroar,Amoonguss,Zacian-Crowned,Amoonguss,1049
70,1647966279,2022-03-22T16:24:39Z,melondonkey,1,1128,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Kartana,Sableye,Regieleki,1149
71,1647978402,2022-03-22T19:46:42Z,melondonkey,1,1173,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Kartana,Sableye,Kyurem-White,1197
71,1647978402,2022-03-22T19:46:42Z,Moro__98,0,1161,Sceptile,Calyrex-Ice,Kyogre,Incineroar,Thundurus,Lapras,Lapras,Sceptile,1137
72,1647978537,2022-03-22T19:48:57Z,Galacticsquidzz,1,1241,Kartana,Incineroar,Kyogre,Comfey,Zekrom,Butterfree,Comfey,Zekrom,1263
72,1647978537,2022-03-22T19:48:57Z,melondonkey,0,1197,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Kartana,Sableye,Kyurem-White,1175
73,1647978863,2022-03-22T19:54:23Z,ksquared234,0,1092,Coalossal,Dragapult,Tornadus,Eternatus,Gastrodon,Rillaboom,Coalossal,Dragapult,1074
73,1647978863,2022-03-22T19:54:23Z,melondonkey,1,1175,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Kartana,Sableye,Kyurem-White,1194
74,1647979003,2022-03-22T19:56:43Z,Caterpiefriend,1,1193,Whimsicott,Groudon,Ho-Oh,Venusaur,Charizard,Grimmsnarl,Grimmsnarl,Charizard,1218
74,1647979003,2022-03-22T19:56:43Z,melondonkey,0,1194,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Kartana,Sableye,Kyurem-White,1169
75,1647979473,2022-03-22T20:04:33Z,Dr Dusk 4753,0,1143,Calyrex-Ice,Cofagrigus,Kyogre,Ferrothorn,Porygon2,Arcanine,Cofagrigus,Porygon2,1120
75,1647979473,2022-03-22T20:04:33Z,melondonkey,1,1169,Zacian-*,Kyurem-White,Regieleki,Sableye,Amoonguss,Kartana,Sableye,Kyurem-White,1192
76,1647979662,2022-03-22T20:07:42Z,Teo14,0,1194,Rayquaza,Gastrodon-East,Zacian-*,Shedinja,Regieleki,Mienshao,Mienshao,Zacian-Crowned,1169
76,1647979662,2022-03-22T20:07:42Z,melondonkey,1,1192,Zacian-*,Kyurem-White,Regieleki,Sableye,Amoonguss,Kartana,Sableye,Kyurem-White,1217
77,1647979937,2022-03-22T20:12:17Z,melondonkey,1,1217,Zacian-*,Kyurem-White,Regieleki,Sableye,Amoonguss,Kartana,Sableye,Kyurem-White,1238
77,1647979937,2022-03-22T20:12:17Z,mschmucker05,0,1168,Groudon,Zacian-*,Grimmsnarl,Charizard,Gastrodon-East,Incineroar,Grimmsnarl,Groudon,1147
