type,wgt_avg_resistance,avg_resistance,skew,num_4x,num_weaknesses,num_resists,num_doub_resist
Flying/Ground,1,1.03,-0.030000000000000027,1,2,16,0
Ghost/Steel,1,0.79,0.20999999999999996,0,4,14,1
Ground/Water,1,1,0,1,1,17,0
Dark/Flying,1.01,1.03,-0.020000000000000018,0,4,14,0
Fairy/Steel,1.01,0.74,0.27,0,2,16,1
Fire/Ghost,1.01,0.96,0.050000000000000044,0,5,13,1
Ghost/Poison,1.01,0.97,0.040000000000000036,0,4,14,2
Normal/Poison,1.01,0.94,0.07000000000000006,0,2,16,0
Dragon/Fighting,1.02,1.19,-0.16999999999999993,1,5,13,0
Dragon/Ground,1.02,1.14,-0.11999999999999988,1,3,15,0
Electric/Fighting,1.02,1.03,-0.010000000000000009,0,3,15,0
Fairy/Psychic,1.02,1.04,-0.020000000000000018,0,3,15,1
Fighting/Flying,1.02,1.1,-0.08000000000000007,0,5,13,1
Normal/Water,1.02,1,0.020000000000000018,0,3,15,0
Psychic/Water,1.02,1.11,-0.09000000000000008,0,5,13,0
Bug/Electric,1.03,1,0.030000000000000027,0,2,16,0
Dark/Fairy,1.03,0.99,0.040000000000000036,0,3,15,1
Fighting/Water,1.03,1.08,-0.050000000000000044,0,5,13,0
Electric/Grass,1.04,1.1,-0.06000000000000005,0,4,14,1
Fire,1.04,1,0.040000000000000036,0,3,15,0
Flying/Psychic,1.04,1.12,-0.08000000000000007,0,5,13,1
Dark/Dragon,1.05,1.17,-0.11999999999999988,1,5,13,0
Dark/Water,1.05,1.06,-0.010000000000000009,0,5,13,0
Electric/Normal,1.05,0.97,0.08000000000000007,0,2,16,0
Electric/Psychic,1.05,1.08,-0.030000000000000027,0,4,14,0
Fighting/Poison,1.06,1.1,-0.040000000000000036,1,3,15,1
Normal/Psychic,1.06,1.03,0.030000000000000027,0,2,16,0
Normal,1.06,1,0.06000000000000005,0,1,17,0
Poison/Psychic,1.06,1.04,0.020000000000000018,0,3,15,1
Psychic,1.06,1.11,-0.050000000000000044,0,3,15,0
Dragon/Grass,1.07,1.29,-0.21999999999999997,1,6,12,3
Fairy/Fighting,1.07,1.08,-0.010000000000000009,0,5,13,2
Fighting/Fire,1.07,1.04,0.030000000000000027,0,4,14,1
Fighting,1.07,1.08,-0.010000000000000009,0,3,15,0
Ghost/Grass,1.07,1.06,0.010000000000000009,0,5,13,0
Grass/Poison,1.07,1.07,0,0,4,14,1
Dark/Electric,1.08,1.03,0.050000000000000044,0,4,14,0
Electric/Poison,1.08,1,0.08000000000000007,1,2,16,0
Fighting/Psychic,1.08,1.11,-0.030000000000000027,0,3,15,0
Ghost/Ground,1.08,1.01,0.07000000000000006,0,5,13,1
Ground/Poison,1.08,1.01,0.07000000000000006,0,4,14,1
Dark,1.09,1.06,0.030000000000000027,0,3,15,0
Fairy/Ground,1.09,1,0.09000000000000008,0,4,14,0
Fire/Psychic,1.09,1.08,0.010000000000000009,0,5,13,0
Bug/Fire,1.1,1.1,0,1,3,15,1
Dark/Fire,1.1,1,0.10000000000000009,0,4,14,0
Dark/Psychic,1.1,1.17,-0.06999999999999984,1,2,16,0
Fairy/Grass,1.1,1.17,-0.06999999999999984,1,5,13,0
Fire/Normal,1.1,1,0.10000000000000009,0,4,14,0
Flying/Rock,1.1,1.08,0.020000000000000018,0,5,13,0
Bug/Poison,1.11,1.06,0.050000000000000044,0,4,14,2
Ground,1.11,1.06,0.050000000000000044,0,3,15,0
Steel,1.11,0.83,0.28000000000000014,0,3,15,0
Bug,1.12,1.08,0.040000000000000036,0,3,15,0
Fighting/Steel,1.12,0.86,0.2600000000000001,0,3,15,2
Grass,1.12,1.17,-0.04999999999999982,0,5,13,0
Psychic/Steel,1.12,0.9,0.22000000000000008,0,4,14,1
Bug/Fairy,1.13,1.07,0.05999999999999983,0,5,13,1
Bug/Ghost,1.13,1.06,0.06999999999999984,0,5,13,0
Dragon/Ice,1.13,1.19,-0.06000000000000005,0,5,13,0
Fighting/Normal,1.13,1.08,0.04999999999999982,0,4,14,0
Bug/Normal,1.14,1.06,0.07999999999999985,0,3,15,0
Electric/Fire,1.14,1.04,0.09999999999999987,1,3,15,1
Electric/Ground,1.14,1.06,0.07999999999999985,0,4,14,0
Ghost/Psychic,1.14,1.17,-0.030000000000000027,2,2,16,0
Flying/Grass,1.15,1.24,-0.09000000000000008,1,5,13,1
Dragon/Rock,1.16,1.18,-0.020000000000000018,0,6,12,1
Fire/Poison,1.16,1.07,0.08999999999999986,1,4,14,3
Bug/Dark,1.17,1.11,0.05999999999999983,0,5,13,0
Ground/Psychic,1.17,1.17,0,0,6,12,0
Fire/Ground,1.18,1.03,0.1499999999999999,1,2,16,0
Grass/Normal,1.18,1.17,0.010000000000000009,0,6,12,0
Grass/Rock,1.18,1.17,0.010000000000000009,0,4,14,0
Ground/Normal,1.18,1.06,0.11999999999999988,0,4,14,0
Ground/Steel,1.18,0.88,0.29999999999999993,0,4,14,1
Ice/Water,1.18,1.15,0.030000000000000027,0,4,14,1
Poison/Steel,1.18,0.88,0.29999999999999993,1,2,16,3
Bug/Ground,1.19,1.08,0.10999999999999988,0,4,14,0
Bug/Rock,1.19,1.11,0.07999999999999985,0,3,15,0
Dark/Fighting,1.19,1.12,0.06999999999999984,1,3,15,1
Fighting/Ground,1.19,1.15,0.040000000000000036,0,6,12,1
Ghost/Ice,1.19,1.08,0.10999999999999988,0,5,13,0
Ghost/Rock,1.19,1.1,0.08999999999999986,0,6,12,1
Grass/Psychic,1.2,1.33,-0.13000000000000012,1,7,11,0
Bug/Psychic,1.21,1.21,0,0,6,12,1
Dark/Ground,1.21,1.11,0.09999999999999987,0,6,12,0
Bug/Flying,1.22,1.22,0,1,5,13,2
Fire/Steel,1.22,0.9,0.31999999999999995,1,3,15,5
Grass/Ground,1.22,1.22,0,1,4,14,0
Electric/Steel,1.23,0.89,0.33999999999999997,1,3,15,2
Bug/Fighting,1.24,1.19,0.050000000000000044,1,4,14,0
Bug/Steel,1.24,0.88,0.36,1,1,17,1
Dark/Grass,1.24,1.28,-0.040000000000000036,1,7,11,0
Fighting/Grass,1.25,1.28,-0.030000000000000027,1,6,12,0
Dark/Normal,1.26,1.14,0.1200000000000001,1,3,15,0
Dark/Steel,1.26,0.92,0.33999999999999997,1,3,15,0
Flying/Ice,1.26,1.22,0.040000000000000036,1,4,14,0
Grass/Steel,1.26,0.9,0.36,1,2,16,1
Ice/Poison,1.26,1.14,0.1200000000000001,0,5,13,0
Normal/Steel,1.26,0.89,0.37,1,3,15,0
Electric/Ice,1.27,1.14,0.13000000000000012,0,4,14,0
Rock/Water,1.27,1.18,0.09000000000000008,1,4,14,1
Fairy/Rock,1.3,1.14,0.16000000000000014,1,4,14,0
Fire/Ice,1.3,1.21,0.09000000000000008,1,4,14,1
Rock,1.3,1.17,0.13000000000000012,0,5,13,0
Ice,1.31,1.19,0.1200000000000001,0,4,14,0
Poison/Rock,1.31,1.15,0.16000000000000014,1,4,14,1
Psychic/Rock,1.31,1.25,0.06000000000000005,0,7,11,0
Fairy/Ice,1.32,1.19,0.13000000000000012,1,4,14,0
Fighting/Rock,1.33,1.22,0.1100000000000001,0,7,11,0
Ice/Psychic,1.33,1.28,0.050000000000000044,0,6,12,0
Electric/Rock,1.36,1.18,0.18000000000000016,1,4,14,1
Fighting/Ice,1.36,1.25,0.1100000000000001,0,6,12,0
Ground/Ice,1.38,1.19,0.18999999999999995,0,5,13,0
Normal/Rock,1.45,1.22,0.22999999999999998,1,5,13,0
Ice/Normal,1.46,1.25,0.20999999999999996,1,4,14,0
Dark/Rock,1.48,1.28,0.19999999999999996,1,7,11,0
Rock/Steel,1.48,1.08,0.3999999999999999,2,3,15,2
Bug/Grass,1.49,1.39,0.10000000000000009,2,6,12,2
Dark/Ice,1.49,1.31,0.17999999999999994,1,6,12,0
Fire/Rock,1.5,1.24,0.26,2,4,14,1
Grass/Ice,1.55,1.39,0.16000000000000014,1,7,11,0
Bug/Ice,1.57,1.36,0.20999999999999996,2,4,14,0
Ground/Rock,1.58,1.35,0.22999999999999998,2,6,12,1
Ice/Steel,1.6,1.1,0.5,2,3,15,1
Ice/Rock,1.7,1.44,0.26,2,6,12,0
